name,title,company,seniority_tier,function_category,role,conference_name,year,session_title,linkedin_url,total_appearances
Alanah Joseph,,HubSpot,unknown,other,speaker,INBOUND,2026,Beating Burnout: Use Personal Growth to Drive SuccessAl,https://www.linkedin.com/in/alanahjoseph,4
Alejavi Rivera,,AI VENTURE SL,unknown,other,speaker,INBOUND,2026,AI Creator Studio: Scale Video Content With Smart Tools,https://es.linkedin.com/in/alejavirivera,4
Alex Hinkle,,Make,unknown,other,speaker,INBOUND,2026,Tools for Growth: What 8K HubSpot Customers Automate With AI,https://www.linkedin.com/in/alexthink,4
Alexandra Clifford,,HubSpot,unknown,other,speaker,INBOUND,2026,Meetup: Humanizing the Healthcare Patient Experience,https://www.linkedin.com/in/alexandra-clifford,4
Alexandra Kendall,,Youth Enrichment Brands,unknown,other,speaker,INBOUND,2026,Enterprise Marketing Principles for Personalized Experiences,,4
Alexis Eaglin,,Simple Strat,unknown,other,speaker,INBOUND,2026,"Interactive Workflow Automation: You Vote, We Build—LIVE!",https://www.linkedin.com/in/alexiseaglin,4
Ali Schwanke,,Simple Strat,unknown,other,speaker,INBOUND,2026,"Interactive Workflow Automation: You Vote, We Build—LIVE!",https://www.linkedin.com/in/alischwanke,4
Alice Walker,,LeanData,unknown,other,speaker,INBOUND,2026,HubSpot for Marketing. Different CRM. 1 Seamless GTM Motion.,https://www.linkedin.com/in/aliceawalker,4
Alok Shukla,,FunnelStory,unknown,other,speaker,INBOUND,2026,Tools for Growth: Fighting Surprise Churn With Math and AI,https://www.linkedin.com/in/akshukla,4
Alyona Mysko,,Fuelfinance,unknown,other,speaker,INBOUND,2026,Building a Data-Driven Marketing Budget That Works,https://www.linkedin.com/in/alyona-mysko,4
Amanda Huffman,,HubSpot,unknown,other,speaker,INBOUND,2026,How the HubSpot Blog Is Adapting to the Shifts in Search,https://www.linkedin.com/in/alhuffman,4
Amanda Schumacher,,HubSpot,unknown,other,speaker,INBOUND,2026,ENCORE: What's New for Marketers With HubSpot,https://www.linkedin.com/in/am-schumacher,4
Amanda Sellers,,HubSpot,unknown,other,speaker,INBOUND,2026,How the HubSpot Blog Is Adapting to the Shifts in Search,https://www.linkedin.com/in/amanda-edens,4
Amber Bachlani,,HubSpot,unknown,other,speaker,INBOUND,2026,What's New for Service With HubSpot,https://www.linkedin.com/in/amberbachlani,4
Amber Giannone,,Stack Adapt,unknown,other,speaker,INBOUND,2026,,https://www.linkedin.com/in/amber-giannone-a6145077,4
Amy Chamness,,HubSpot,unknown,other,speaker,INBOUND,2026,Enterprise Marketing Principles for Personalized Experiences,https://www.linkedin.com/in/amy-chamness-29842591,4
Amy Poehler,,Paper Kite Productions,unknown,other,speaker,INBOUND,2026,"The Art of Yes, And: Amy Poehler's Improv-Driven Success",https://www.linkedin.com/in/jordan-grief-189384308,4
Anand Malto,,JustCall,unknown,other,speaker,INBOUND,2026,Tools for Growth: No Missed Calls With 24/7 AI Voice Agents,https://in.linkedin.com/in/anandmalto,4
Anand Narasimhan,,S-Docs,unknown,other,speaker,INBOUND,2026,Tools for Growth: Fix Contract Chaos With Automation,,4
Andi Bricklin,,Aramark,unknown,other,speaker,INBOUND,2026,"Content That Scales Your Impact, Not Your Output",https://www.linkedin.com/in/andibricklin,4
Andres Bustos,,HubSpot,unknown,other,speaker,INBOUND,2026,Winning With Relevance: AI-Powered Segmentation and Personalization,https://www.linkedin.com/in/andrespbustos,4
